City,Type,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,Source
Atlanta,Population,479590,492121,498772,507301,499586,496461,-0.006255179288,,
Atlanta,Total,211327525,218348248,230594895,234220469,248508776,259645968,276953125,282764350,
Baltimore,Total,475431941,480696060,493738648,509618142,536376477,549959919,555084016,579579068,https://bbmr.baltimorecity.gov/budget-publications
Baltimore,Population,616542,610853,603241,594601,583132,576498,,,https://data.census.gov/all?q=population+Baltimore+City
Chicago,Total,1446688362,1490603421,1552820295,1656466229,1758600259,1699155437,1879703145,1943977986,
Chicago,Population,2716297,2710456,2700968,2691497,2741730,2696555,,,
Detroit,Total,278301137,266884221,305956770,316356479,318193356,293284718,326259105,1383361,
Detroit,Population,677379,675031,673658,670442,638176,632464,,,
Houston,Total,806991579,811296432,827310800,871261633,899879053,930933665,955813489,988758210,
Houston,Population,2306000,2313000,2314000,2316000,2300000,2288000,,,
Los Angeles,Total,1440000000,1490000000,1580000000,1610000000,1730000000,1860000000,1760000000,1880000000,https://openbudget.lacity.org/#!/year/2023/operating/0/department_name/Police/0/program_name?vis=lineChart
Los Angeles,Population,3958000,3975000,3981000,3983000,3890000,3849000,,,
Minneapolis,Total,159358421,167634009,178938619,181165152,182980796,169556974,196646242,198498147,https://minneapolismn.opengov.com/transparency/#/35901/accountType=expenses&embed=n&breakdown=ee076d02-de82-4b3b-9f8e-4a4c99429caf&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=desc&proration=true&saved_view=null&selection=9691D327B60A2EF8E16C2E7E020179E1&projections=null&projectionType=null&highlighting=null&highlightingVariance=null&year=2022&selectedDataSetIndex=null&fiscal_start=earliest&fiscal_end=latest
Minneapolis,Population,415315,421177,424310,428821,429014,425336,,,
New York,Total,5075081000,5312163000,5480432000,5668823000,5785046000,5267661000,5440000000,5530000000,https://ibo.nyc.ny.us/RevenueSpending/nypd.html
New York,Population,8468954,8437695,8396614,8342925,8772978,8467513,,,